Index,Outlet Name,Outlet Address,latitude,longitude
0,Jenjarom,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom",2.8749511,101.5025328
1,"Vista Bangi, Jalan Reko","1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor.",2.9769147,101.7867531
2,"Bukit Rambai, Melaka","No 47, Jalan Rambai Jaya 29, Taman Rambai Jaya 75260 Melaka",2.2629954,102.1851056
3,Bandar Mentakab,"No.131 (Ground Floor) Jalan Melati 28400 Mentakab, Pahang.",3.6168822,102.5994547
4,"Tree Square, Tanjung Bungah","No. 88-G-A05, Jalan Sungai Kelian, 11200 Tanjong Bungah, Penang",5.4652008,100.2921905
5,Alor Gajah,"KM 12-1 (Ground Floor), Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang, 78000 Alor Gajah, Melaka",2.3842924,102.2165916
6,Tangkak Johor,"No. 131 (Ground Floor), Jalan Muar, 84900 Tangkak Johor",2.2645859,102.5381023
7,Bandar Tasek Raja,"Lot 579 (GF) Bandar Tasek Raja 17000 Pasir Mas,Kelantan.",5.4021302,102.0635972
8,"Setia Prima, Setia Alam","8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor",3.1001125,101.4446562
9,Bandar Tanah Merah,"Pt 461-G Jalan Tasek 17500 Tanah Merah, Kelantan.",5.4021302,102.0635972
10,Sutera Mall,"L2-550k, Sutera Mall, Jalan Sutera Tanjung 8/4, 81300 Skudai, Johor",1.5176707999999999,103.67153394453445
11,CALTEX Simpang Gambang,"Lot 10759, Batu 18, Jalan Gambang, 26300 Kuantan, Pahang",3.7684298,103.2254708
12,City Mall Kota Kinabalu,"M-0-77 (S05), Ground Floor, Jln Lintas, 88300 Kota Kinabalu, Sabah",5.9434874,116.08154942747834
13,The Exchange TRX,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan",3.14253815,101.71807948125183
14,Mesamall Nilai,"Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan",2.8153992,101.7856037
15,Taman Sri Manja,"No.25, Jalan PJS 3/46, Taman Sri Manja, 46000 Petaling Jaya",3.0752842,101.6448001
